title;description;date;image;kategorie
WIELKI PLATYNOWY PIĘCIOBÓJ SIŁOWY DLA MŁODZIEŻY; Konkurencje to: Burpees – 10 powtórzeń, Wskok na skrzynię – 10 powtórzeń, Wyciskanie dwóch kettlebells nad głowę – 10 powtórzeń, Przysiad z wyskokiem – 10 powtórzeń Crossfit sit-ups – 10 powtórzeń. Osoby w wieku 13-17 zapraszamy do rywalizacji w dwóch kategoriach: Kategoria I: Dziewczyny, Kategoria II: Chłopcy. W trakcie kwalifikacji zawodnik stara się wykonać po 10 powtórzeń każdego ćwiczenia w jak najkrótszym czasie. Zawodnik wykonuje pięć ćwiczeń, jedno po drugim, bez przerw. Czas przeznaczony na zmianę ćwiczenia przez zawodnika liczy się do całkowitego wyniku. Liczba miejsc ograniczona.  Zapisy przyjmowane są tylko osobiście w siedzibie siłowni, pok. 12.;2023-09-08;piecioboj.png;4
ZAWODY W WYCISKANIU WIELOKROTNYM SZTANGI LEŻĄC; Każdy z Uczestników podczas konkurencji będzie wyciskał ciężar stanowiący połowę ciężaru ciała Uczestnika. Przed startem każdy z Uczestników zostanie zważony przez Sędziów oraz zostanie mu dobrany ciężar sztangi. Osoby pełnoletnie zapraszamy do rywalizacji w dwóch kategoriach: Kategoria I - Kobiety i Kategoria II - Mężczyźni. Zapisy przyjmowane są mailowo, telefonicznie i osobiście w siedzibie siłowni, pok. 12.;2023-10-06;sztangaWycisk.png;6,1,2
ZAWODY RZUTÓW DO KOSZA ZA 3 PUNKTY; Zawody przewidziane są dla osób w każdym wieku. Zawody traktowane są jako czysta zabawa. Zawodnik ma do oddania określoną liczbę rzutów z trzech miejsc – na wprost kosza i z dwóch bocznych pozycji. Uczestnicy oddają po 5 rzutów z każdej pozycji. Wstęp wolny ;2023-11-03;koszRzut.png;3,4,6,5
TURNIEJ TENISA STOŁOWEGO; Zawody przewidziane są dla osób w każdym wieku, a na zywcięzców czekają wspaniałe nagordy. Zapisy przyjmowane są mailowo, telefonicznie i osobiście w siedzibie siłowni pok. 12. Liczba miejsc ograniczona;2023-11-15;pingPong.png;3,4,6,5
ZAWODY FUNCTIONAL FITNESS "REBEL CHALLENGE”; To niezwykłe zawody, gdzie uczestnicy będą musieli stawić czoła różnorodnym zadaniom functional fitness, takim jak podnoszenie, bieganie, przeszkody, i wiele innych. To test kompleksowej sprawności fizycznej. Zawody podzielone są na kategorie wiekowe, aby zapewnić równą rywalizację dla wszystkich;2024-03-15;fitness.png;3,4,6,5
ZAWODY STRONGWOMAN "AMAZON QUEENS"; Silne kobiety rywalizują w różnych konkurencjach strongwoman, takich jak podnoszenie atlasowych kamieni, ciągnięcie ciężarówek i przeciąganie ciężkich łańcuchów. Kategoria "Amazon Queens" jest przeznaczona wyłącznie dla dorosłych kobiet. Rywalizacja jest podzielona na kategorie wiekowe, aby każda uczestniczka miała równe szanse;2024-04-20;strongwoman.png;1,5,6,7
MISTRZOSTWA KETTLEBELL LONG CYCLE "KETTLEBELL KINGS"; W tej konkurencji zawodnicy będą rywalizować w podnoszeniu kettlebelli w formie długiego cyklu. To test ich siły i wytrzymałości, gdy muszą unosić kettlebell w jednym długim cyklu podczas wznoszenia nad głowę. Rywalizacja uwzględnia różne kategorie wiekowe;2024-05-25;kettle.png;3,4,6,5
MISTRZOSTWA WYCISKANIA HANTLI "HANTLIADA"; To wydarzenie, gdzie uczestnicy będą rywalizować w wyciskaniu hantli. Każdy uczestnik dostosuje ciężar hantli do swoich umiejętności i będzie dążył do ustanowienia najlepszego wyniku w tej konkurencji. Zawody są podzielone na kategorie wiekowe;2024-06-10;hantle.png;4,6,5
STRONGMAN CHALLENGE "ATLAS TITANS"; Strongman to sport, który wymaga ogromnej siły fizycznej. W tych zawodach uczestnicy będą podnosili ogromne kamienie atlasowe, ciągnęli ciężarówki i przewracali olbrzymie opony. To rywalizacja największych twardzieli. Zawody są otwarte dla doświadczonych mężczyzn;2024-07-15;strongman.png;2,6,7
MISTRZOSTWA KALISTENIKI; W tych zawodach zawodnicy będą pokazywali swoje umiejętności w ćwiczeniach calisthenics, takich jak pull-upy, muscle-upy i inne elementy street workout. Kto okaże się mistrzem barów? Rywalizacja jest podzielona na różne grupy wiekowe i płciowe;2024-09-25;kalistenika.png;3,4,6,5
TRÓJBÓJ SIŁOWY; W tej konkurencji zawodnicy będą rywalizować w trójboju siłowym, co oznacza przysiady, wyciskanie na klatkę piersiową i martwy ciąg. To test ogólnej siły i wytrzymałości. Zawody uwzględniają różne grupy wiekowe;2024-10-15;sztang.png;7,1,2,6,5
ZAWODY BIKINI FITNESS "BEACH BODY CHALLENGE"; To rywalizacja w kategorii bikini fitness, gdzie uczestniczki prezentują swoje wyrzeźbione ciała w bikini. To konkurencja o harmonii sylwetki i zdrowy styl życia. Zawody uwzględniają kategorie wiekowe i płciowe;2023-08-15;bikiniFitness.png;3,4,6,5
